epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4317.87,0.66907,0.5029,0.95342,0.99824,1,0.995,0.82111,0.71373,0.48683,0.9272,0.000416,0.000416,0.000416
62,4388.53,0.63492,0.48678,0.95796,0.99825,1,0.995,0.81381,0.66141,0.48122,0.90668,0.0003896,0.0003896,0.0003896
63,4459.38,0.64809,0.48194,0.93185,0.99836,1,0.995,0.85718,0.57944,0.46681,0.87755,0.0003632,0.0003632,0.0003632
64,4530.19,0.59954,0.4499,0.9098,0.9983,1,0.995,0.86011,0.55411,0.44527,0.8705,0.0003368,0.0003368,0.0003368
65,4600.82,0.60472,0.45521,0.91325,0.99826,1,0.995,0.86601,0.54562,0.43499,0.86907,0.0003104,0.0003104,0.0003104
66,4671.96,0.56394,0.49033,0.85613,0.99822,1,0.995,0.8702,0.54527,0.43734,0.87613,0.000284,0.000284,0.000284
67,4742.52,0.59316,0.47155,0.89514,0.99831,1,0.995,0.88252,0.53817,0.44609,0.87544,0.0002576,0.0002576,0.0002576
68,4812.93,0.5443,0.43704,0.85895,0.9984,1,0.995,0.87587,0.52767,0.45864,0.86641,0.0002312,0.0002312,0.0002312
69,4883.35,0.56488,0.46996,0.86646,0.99834,1,0.995,0.875,0.52942,0.46607,0.8641,0.0002048,0.0002048,0.0002048
70,4953.73,0.56583,0.45026,0.85626,0.99822,1,0.995,0.86519,0.53126,0.46106,0.86499,0.0001784,0.0001784,0.0001784
71,5024.08,0.57431,0.4548,0.84905,0.99818,1,0.995,0.87425,0.53344,0.45233,0.86601,0.000152,0.000152,0.000152
72,5094.64,0.54024,0.41814,0.8222,0.9981,1,0.995,0.87801,0.53965,0.4402,0.86857,0.0001256,0.0001256,0.0001256
73,5164.79,0.53674,0.41578,0.8646,0.99814,1,0.995,0.87781,0.54573,0.43636,0.87165,9.92e-05,9.92e-05,9.92e-05
74,5235,0.53704,0.4261,0.85667,0.99813,1,0.995,0.87611,0.5509,0.42917,0.87436,7.28e-05,7.28e-05,7.28e-05
75,5305.71,0.53914,0.42316,0.847,0.99818,1,0.995,0.87067,0.55006,0.42541,0.87405,4.64e-05,4.64e-05,4.64e-05
